epoch,train_loss,train_acc,train_recall,val_loss,val_acc,val_recall,male_loss,male_acc,male_recall,female_loss,female_acc,female_recall
1,2.0402,0.1895,0.1964,1.8438,0.3269,0.3281,1.8539,0.3750,0.3423,1.8336,0.2788,0.3140
2,1.7573,0.3241,0.3443,1.5983,0.4062,0.4003,1.6471,0.3894,0.3423,1.5486,0.4231,0.4583
3,1.5677,0.4438,0.4807,1.5285,0.4543,0.3891,1.6092,0.4423,0.3601,1.4458,0.4663,0.4182
4,1.5505,0.4772,0.5009,1.4155,0.4712,0.4457,1.4501,0.5288,0.4658,1.3801,0.4135,0.4256
5,1.3916,0.4994,0.5274,1.1752,0.5986,0.6012,1.1796,0.6250,0.6042,1.1660,0.5721,0.5982
6,1.1897,0.6093,0.6373,1.1514,0.5721,0.5640,1.2777,0.5288,0.4851,1.0241,0.6154,0.6429
7,1.0776,0.6741,0.6923,1.0436,0.6010,0.6213,1.1089,0.5962,0.6012,0.9782,0.6058,0.6414
8,1.0005,0.7327,0.7561,1.1244,0.5865,0.5499,1.1874,0.5673,0.5134,1.0614,0.6058,0.5863
9,0.8956,0.7525,0.7670,0.9596,0.6466,0.6429,1.0018,0.6683,0.6533,0.9168,0.6250,0.6324
10,0.8303,0.7944,0.8173,1.0265,0.5457,0.5774,1.1494,0.4856,0.5104,0.9018,0.6058,0.6443
11,0.8630,0.7401,0.7713,0.9517,0.6346,0.6153,1.0018,0.6538,0.6146,0.8981,0.6154,0.6161
12,0.7715,0.8074,0.8193,0.9343,0.6899,0.6719,1.0680,0.6298,0.5878,0.7922,0.7500,0.7560
13,0.6995,0.8037,0.8334,0.7792,0.7332,0.7366,0.8445,0.7308,0.7128,0.7139,0.7356,0.7604
14,0.6420,0.8475,0.8600,0.7701,0.7043,0.7143,0.7981,0.7212,0.7113,0.7416,0.6875,0.7173
15,0.5894,0.8611,0.8765,0.7722,0.7476,0.7374,0.8145,0.7356,0.7068,0.7298,0.7596,0.7679
16,0.5556,0.8889,0.8977,0.7465,0.7500,0.7433,0.8189,0.7404,0.7143,0.6729,0.7596,0.7723
17,0.5046,0.9080,0.9174,0.7509,0.7212,0.7307,0.8535,0.7260,0.7113,0.6468,0.7163,0.7500
18,0.4660,0.9062,0.9147,0.6972,0.7476,0.7470,0.7389,0.7596,0.7426,0.6553,0.7356,0.7515
19,0.4566,0.9111,0.9199,0.7010,0.7356,0.7440,0.7638,0.7260,0.7143,0.6377,0.7452,0.7738
20,0.4224,0.9284,0.9359,0.6819,0.7524,0.7545,0.7462,0.7356,0.7173,0.6165,0.7692,0.7917
21,0.4296,0.9222,0.9317,0.6699,0.7620,0.7664,0.7474,0.7596,0.7440,0.5918,0.7644,0.7887
22,0.3955,0.9364,0.9436,0.6900,0.7476,0.7426,0.7598,0.7452,0.7202,0.6190,0.7500,0.7649
23,0.3656,0.9525,0.9574,0.6489,0.7548,0.7597,0.6984,0.7837,0.7693,0.5993,0.7260,0.7500
24,0.3545,0.9531,0.9599,0.6511,0.7428,0.7507,0.7028,0.7644,0.7515,0.5991,0.7212,0.7500
