epoch,train_loss,train_acc,train_recall,val_loss,val_acc,val_recall,male_loss,male_acc,male_recall,female_loss,female_acc,female_recall
1,1.9364,0.2356,0.2589,1.7604,0.3522,0.3280,1.7594,0.3317,0.3006,1.7589,0.3780,0.3601
2,1.7403,0.3732,0.3770,1.6025,0.3844,0.4118,1.6345,0.3029,0.3274,1.5619,0.4878,0.5109
3,1.5477,0.4784,0.4818,1.5071,0.3145,0.3348,1.5278,0.2500,0.2857,1.4753,0.3963,0.3958
4,1.5413,0.4663,0.4825,1.3332,0.5054,0.5227,1.3673,0.4808,0.5060,1.2898,0.5366,0.5437
5,1.2072,0.6178,0.6243,1.1713,0.5699,0.6044,1.2222,0.5144,0.5640,1.1057,0.6402,0.6538
6,1.1761,0.6400,0.6635,1.2146,0.5780,0.5604,1.2684,0.5577,0.5491,1.1449,0.6037,0.5754
7,1.0207,0.7133,0.7307,1.1173,0.5780,0.6059,1.1833,0.5144,0.5506,1.0336,0.6585,0.6736
8,0.8830,0.7608,0.7840,1.0241,0.5887,0.6067,1.1117,0.5481,0.5565,0.9103,0.6402,0.6647
9,0.8504,0.7752,0.7915,1.0203,0.6694,0.6639,1.0995,0.6250,0.6116,0.9199,0.7256,0.7232
10,0.7553,0.8197,0.8300,0.9410,0.6613,0.6771,1.0315,0.6058,0.6176,0.8246,0.7317,0.7460
11,0.6477,0.8516,0.8663,0.9471,0.6828,0.6756,1.0139,0.6346,0.6220,0.8623,0.7439,0.7381
12,0.6055,0.8816,0.8906,0.8986,0.6828,0.6886,0.9965,0.5962,0.5952,0.7710,0.7927,0.7996
13,0.5311,0.8936,0.9036,0.9608,0.6398,0.6378,1.0799,0.5817,0.5818,0.8052,0.7134,0.7063
14,0.5024,0.9062,0.9159,0.8836,0.6909,0.6952,0.9874,0.6346,0.6324,0.7507,0.7622,0.7669
15,0.4660,0.9207,0.9282,0.9465,0.6102,0.6254,1.0363,0.5577,0.5625,0.8314,0.6768,0.6974
16,0.4096,0.9285,0.9373,0.9222,0.6183,0.6288,1.0549,0.5625,0.5685,0.7495,0.6890,0.7004
17,0.4002,0.9405,0.9464,0.8688,0.6801,0.6730,0.9594,0.6346,0.6205,0.7532,0.7378,0.7341
18,0.3490,0.9561,0.9596,0.8863,0.6694,0.6720,0.9970,0.6154,0.6116,0.7442,0.7378,0.7421
19,0.3289,0.9519,0.9594,0.9043,0.6075,0.6514,1.0201,0.5337,0.5774,0.7564,0.7012,0.7381
20,0.3152,0.9615,0.9667,0.8303,0.6747,0.6837,0.9262,0.5962,0.5997,0.7083,0.7744,0.7837
21,0.3042,0.9645,0.9701,0.8868,0.6317,0.6388,0.9789,0.5769,0.5833,0.7694,0.7012,0.7054
22,0.2858,0.9730,0.9764,0.8347,0.6935,0.7064,0.9332,0.6346,0.6458,0.7075,0.7683,0.7798
23,0.2591,0.9772,0.9797,0.8609,0.6425,0.6548,0.9752,0.5721,0.5804,0.7115,0.7317,0.7450
24,0.2530,0.9850,0.9862,0.8874,0.6478,0.6499,1.0066,0.6058,0.6027,0.7317,0.7012,0.7054
25,0.2185,0.9868,0.9885,0.8666,0.6505,0.6660,0.9984,0.5962,0.6071,0.6974,0.7195,0.7341
26,0.2079,0.9916,0.9927,0.8565,0.6371,0.6633,0.9839,0.5625,0.5848,0.6921,0.7317,0.7560
27,0.1973,0.9940,0.9950,0.8650,0.6371,0.6480,0.9940,0.5817,0.5863,0.6989,0.7073,0.7212
28,0.1950,0.9934,0.9944,0.8626,0.6478,0.6575,0.9845,0.5962,0.6027,0.7050,0.7134,0.7232
29,0.1817,0.9934,0.9940,0.8657,0.6478,0.6558,0.9918,0.5913,0.5923,0.7020,0.7195,0.7302
30,0.1773,0.9946,0.9950,0.8897,0.6344,0.6454,1.0207,0.5817,0.5878,0.7211,0.7012,0.7133
