epoch,train_loss,train_acc,train_recall,val_loss,val_acc,val_recall,male_loss,male_acc,male_recall,female_loss,female_acc,female_recall
1,1.7158,0.3251,0.3328,1.4784,0.5430,0.5085,1.4546,0.5192,0.4851,1.5086,0.5732,0.5397
2,1.1239,0.6082,0.6313,1.0903,0.6505,0.6492,1.1354,0.6154,0.6220,1.0332,0.6951,0.6855
3,0.8225,0.7290,0.7452,0.9777,0.6613,0.6592,1.0416,0.6394,0.6369,0.8967,0.6890,0.6845
4,0.6538,0.7981,0.8092,0.9209,0.6774,0.6769,0.9916,0.6587,0.6577,0.8313,0.7012,0.7024
5,0.5203,0.8582,0.8677,0.8796,0.6747,0.6879,0.9483,0.6058,0.6280,0.7924,0.7622,0.7649
6,0.4348,0.8882,0.8956,0.8271,0.7392,0.7330,0.9145,0.6827,0.6756,0.7162,0.8110,0.8036
7,0.3477,0.9213,0.9299,0.8866,0.7097,0.6898,0.9881,0.6394,0.6250,0.7579,0.7988,0.7748
8,0.2913,0.9351,0.9427,0.9204,0.6317,0.6375,1.0244,0.5817,0.5878,0.7885,0.6951,0.6994
9,0.2475,0.9543,0.9594,0.8909,0.6613,0.6675,0.9837,0.6202,0.6220,0.7732,0.7134,0.7222
10,0.2111,0.9621,0.9667,0.8173,0.7097,0.7015,0.9082,0.6442,0.6354,0.7021,0.7927,0.7837
11,0.1848,0.9754,0.9781,0.7889,0.7231,0.7132,0.8786,0.6635,0.6518,0.6751,0.7988,0.7877
12,0.1477,0.9868,0.9890,0.7579,0.7204,0.7270,0.8453,0.6635,0.6667,0.6470,0.7927,0.7986
13,0.1291,0.9904,0.9920,0.8374,0.6882,0.6935,0.9575,0.6346,0.6354,0.6850,0.7561,0.7649
14,0.1138,0.9934,0.9944,0.8163,0.7204,0.7251,0.9082,0.6635,0.6622,0.6997,0.7927,0.7986
15,0.1077,0.9922,0.9935,0.8696,0.6801,0.6939,0.9820,0.6250,0.6324,0.7271,0.7500,0.7669
16,0.0953,0.9946,0.9955,0.8093,0.7097,0.7228,0.9113,0.6538,0.6622,0.6799,0.7805,0.7946
17,0.0773,0.9970,0.9974,0.8095,0.7070,0.7202,0.8873,0.6635,0.6741,0.7110,0.7622,0.7758
18,0.0699,0.9988,0.9991,0.8148,0.7043,0.7177,0.9219,0.6442,0.6518,0.6790,0.7805,0.7966
19,0.0638,0.9982,0.9987,0.8378,0.6828,0.7030,0.9247,0.6346,0.6503,0.7276,0.7439,0.7659
20,0.0587,1.0000,1.0000,0.8249,0.7124,0.7173,0.9200,0.6490,0.6548,0.7043,0.7927,0.7946
21,0.0531,1.0000,1.0000,0.7899,0.7285,0.7396,0.8559,0.6875,0.7068,0.7063,0.7805,0.7817
22,0.0517,1.0000,1.0000,0.8919,0.6935,0.7020,1.0158,0.6442,0.6518,0.7349,0.7561,0.7629
