epoch,train_loss,train_acc,train_recall,val_loss,val_acc,val_recall,male_loss,male_acc,male_recall,female_loss,female_acc,female_recall
1,1.9521,0.2315,0.2368,1.7736,0.2812,0.3199,1.7558,0.2885,0.3214,1.7822,0.2740,0.3185
2,1.7574,0.3525,0.3681,1.5511,0.4639,0.4628,1.5622,0.4567,0.4509,1.5375,0.4712,0.4747
3,1.5525,0.4809,0.4921,1.3935,0.4519,0.5067,1.4126,0.4375,0.4747,1.3739,0.4663,0.5387
4,1.3880,0.5333,0.5609,1.3176,0.5096,0.5097,1.3269,0.4904,0.4717,1.3025,0.5288,0.5476
5,1.2159,0.6469,0.6598,1.3396,0.4207,0.4524,1.2573,0.4327,0.4554,1.4218,0.4087,0.4494
6,1.0560,0.6790,0.6938,1.1959,0.5048,0.5454,1.2332,0.5096,0.5506,1.1585,0.5000,0.5402
7,0.9743,0.6944,0.7207,1.1247,0.5673,0.5759,1.1533,0.5673,0.5729,1.0954,0.5673,0.5789
8,0.9248,0.7272,0.7465,1.1895,0.5385,0.5409,1.1805,0.5673,0.5446,1.1982,0.5096,0.5372
9,0.9787,0.7253,0.7559,1.0479,0.6106,0.6064,1.1173,0.5817,0.5670,0.9785,0.6394,0.6458
10,0.7120,0.8364,0.8515,1.1465,0.5288,0.5543,1.2780,0.4760,0.4866,1.0151,0.5817,0.6220
11,0.6501,0.8481,0.8639,0.9747,0.6082,0.6347,1.0606,0.5817,0.6012,0.8872,0.6346,0.6682
12,0.6893,0.8481,0.8596,1.0093,0.5673,0.6027,1.0517,0.5433,0.5655,0.9667,0.5913,0.6399
13,0.5803,0.8673,0.8776,1.0157,0.5865,0.6280,1.0275,0.5962,0.6280,1.0027,0.5769,0.6280
14,0.5040,0.8981,0.9086,0.9726,0.6010,0.6324,1.0169,0.5769,0.6071,0.9282,0.6250,0.6577
15,0.4660,0.9093,0.9170,0.8995,0.6562,0.6704,0.9864,0.6394,0.6562,0.8090,0.6731,0.6845
16,0.4480,0.9117,0.9198,0.9769,0.6106,0.6347,0.9812,0.6106,0.6280,0.9693,0.6106,0.6414
17,0.4160,0.9272,0.9359,0.9514,0.5938,0.6153,1.0619,0.5673,0.5833,0.8390,0.6202,0.6473
18,0.3678,0.9401,0.9469,0.9467,0.6034,0.6131,0.9828,0.6010,0.6057,0.9078,0.6058,0.6205
19,0.3510,0.9537,0.9585,0.9754,0.6010,0.6198,1.0615,0.5673,0.5804,0.8873,0.6346,0.6592
20,0.3388,0.9500,0.9559,0.9629,0.6178,0.6414,1.0765,0.5913,0.6146,0.8484,0.6442,0.6682
21,0.3186,0.9568,0.9613,1.0233,0.5625,0.5952,1.0789,0.5625,0.5893,0.9674,0.5625,0.6012
22,0.2814,0.9685,0.9712,1.0333,0.5817,0.6027,1.1038,0.5673,0.5804,0.9623,0.5962,0.6250
23,0.2824,0.9685,0.9731,0.9698,0.6010,0.6310,1.0423,0.5962,0.6295,0.8973,0.6058,0.6324
24,0.2634,0.9796,0.9821,1.0765,0.5817,0.5923,1.1594,0.5817,0.5789,0.9935,0.5817,0.6057
25,0.2461,0.9809,0.9835,0.9286,0.6226,0.6488,1.0195,0.5962,0.6176,0.8372,0.6490,0.6801
