epoch,train_loss,train_acc,train_recall,val_loss,val_acc,val_recall,male_loss,male_acc,male_recall,female_loss,female_acc,female_recall
1,1.8141,0.3000,0.3138,1.5888,0.4952,0.4271,1.6250,0.4567,0.3943,1.5525,0.5337,0.4598
2,1.2536,0.5531,0.5530,1.1094,0.5577,0.5908,1.1009,0.5817,0.6057,1.1180,0.5337,0.5759
3,0.9153,0.6963,0.7025,0.9418,0.6466,0.6637,0.9806,0.6106,0.6250,0.9029,0.6827,0.7024
4,0.7126,0.7802,0.7912,0.8089,0.6779,0.7031,0.8299,0.6683,0.6920,0.7879,0.6875,0.7143
5,0.5660,0.8432,0.8487,0.7922,0.6659,0.7024,0.7772,0.6827,0.7202,0.8072,0.6490,0.6845
6,0.4839,0.8660,0.8752,0.7864,0.6803,0.6994,0.7613,0.6971,0.7247,0.8116,0.6635,0.6741
7,0.3935,0.8932,0.9019,0.7419,0.6851,0.7232,0.7553,0.6779,0.7232,0.7286,0.6923,0.7232
8,0.3261,0.9259,0.9327,0.7548,0.6755,0.7121,0.7367,0.6971,0.7381,0.7729,0.6538,0.6860
9,0.2676,0.9494,0.9544,0.7644,0.6707,0.7031,0.7426,0.6827,0.7217,0.7862,0.6587,0.6845
10,0.2380,0.9630,0.9660,0.7716,0.6755,0.6927,0.8160,0.6346,0.6443,0.7272,0.7163,0.7411
11,0.2084,0.9685,0.9718,0.7169,0.7091,0.7403,0.7086,0.7067,0.7455,0.7252,0.7115,0.7351
12,0.1889,0.9648,0.9682,0.7716,0.6659,0.6927,0.8040,0.6538,0.6935,0.7393,0.6779,0.6920
13,0.1622,0.9778,0.9806,0.7030,0.7043,0.7359,0.7250,0.6923,0.7277,0.6810,0.7163,0.7440
14,0.1347,0.9895,0.9904,0.6812,0.7500,0.7701,0.7334,0.7404,0.7589,0.6290,0.7596,0.7812
15,0.1197,0.9932,0.9940,0.7398,0.7428,0.7560,0.7439,0.7500,0.7619,0.7356,0.7356,0.7500
16,0.1146,0.9926,0.9937,0.7273,0.7500,0.7664,0.7211,0.7500,0.7649,0.7335,0.7500,0.7679
17,0.0967,0.9951,0.9960,0.7196,0.7548,0.7768,0.7330,0.7500,0.7723,0.7062,0.7596,0.7812
18,0.0887,0.9994,0.9994,0.6878,0.7644,0.7768,0.6793,0.7740,0.7768,0.6963,0.7548,0.7768
19,0.0777,0.9988,0.9988,0.7369,0.7524,0.7723,0.7390,0.7500,0.7708,0.7349,0.7548,0.7738
20,0.0752,0.9981,0.9985,0.7957,0.7380,0.7597,0.7915,0.7308,0.7530,0.8000,0.7452,0.7664
21,0.0671,1.0000,1.0000,0.7157,0.7572,0.7731,0.7336,0.7500,0.7664,0.6978,0.7644,0.7798
22,0.0635,1.0000,1.0000,0.7193,0.7596,0.7820,0.7184,0.7644,0.7887,0.7201,0.7548,0.7753
23,0.0574,0.9994,0.9994,0.7047,0.7644,0.7850,0.7117,0.7596,0.7812,0.6977,0.7692,0.7887
24,0.0542,1.0000,1.0000,0.8105,0.7380,0.7515,0.8212,0.7308,0.7470,0.7998,0.7452,0.7560
