epoch,train_loss,train_acc,train_recall,val_loss,val_acc,val_recall,male_loss,male_acc,male_recall,female_loss,female_acc,female_recall
1,1.9043,0.1778,0.1950,1.7177,0.3774,0.3824,1.7351,0.3606,0.3601,1.7002,0.3942,0.4048
2,1.5549,0.4074,0.4176,1.2313,0.5433,0.5424,1.2886,0.5288,0.4970,1.1739,0.5577,0.5878
3,1.2148,0.5401,0.5528,1.0650,0.5793,0.6012,1.1733,0.5481,0.5595,0.9567,0.6106,0.6429
4,1.0325,0.6012,0.6142,0.9422,0.6130,0.6376,0.9683,0.6394,0.6488,0.9161,0.5865,0.6265
5,0.9163,0.6506,0.6674,0.8225,0.6755,0.6897,0.9121,0.6587,0.6488,0.7330,0.6923,0.7307
6,0.8829,0.6457,0.6726,0.9143,0.6707,0.6496,1.0441,0.5962,0.5595,0.7844,0.7452,0.7396
7,0.7667,0.7117,0.7306,0.7959,0.6923,0.6935,0.8245,0.6587,0.6622,0.7673,0.7260,0.7247
8,0.7207,0.7056,0.7287,0.7068,0.7212,0.7314,0.7442,0.7308,0.7381,0.6695,0.7115,0.7247
9,0.6450,0.7438,0.7636,0.7167,0.6971,0.7128,0.7691,0.6971,0.7024,0.6642,0.6971,0.7232
10,0.6035,0.7636,0.7829,0.7576,0.7043,0.6920,0.7372,0.7260,0.7158,0.7781,0.6827,0.6682
11,0.5677,0.7870,0.8029,0.6577,0.7356,0.7567,0.7579,0.7163,0.7277,0.5575,0.7548,0.7857
12,0.5277,0.7963,0.8134,0.6230,0.7764,0.7783,0.6363,0.7788,0.7753,0.6096,0.7740,0.7812
13,0.4661,0.8154,0.8331,0.6789,0.7524,0.7552,0.6379,0.7644,0.7619,0.7199,0.7404,0.7485
14,0.4487,0.8358,0.8472,0.7102,0.7260,0.7299,0.7024,0.7260,0.7247,0.7180,0.7260,0.7351
15,0.4132,0.8543,0.8698,0.7609,0.7236,0.7031,0.6474,0.7548,0.7381,0.8745,0.6923,0.6682
16,0.3989,0.8568,0.8682,0.7180,0.7500,0.7366,0.6653,0.7740,0.7604,0.7707,0.7260,0.7128
17,0.3718,0.8617,0.8756,0.6916,0.7500,0.7455,0.5777,0.7837,0.7783,0.8054,0.7163,0.7128
18,0.3587,0.8648,0.8798,0.7182,0.7428,0.7254,0.6166,0.7837,0.7693,0.8199,0.7019,0.6815
19,0.3313,0.8796,0.8925,0.6802,0.7476,0.7433,0.6519,0.7644,0.7560,0.7085,0.7308,0.7307
20,0.3217,0.8914,0.9038,0.5731,0.7909,0.7984,0.5363,0.8029,0.8021,0.6098,0.7788,0.7946
21,0.3097,0.8840,0.8968,0.5627,0.7837,0.7879,0.5047,0.8173,0.8185,0.6206,0.7500,0.7574
22,0.2973,0.9006,0.9114,0.6585,0.7764,0.7835,0.6062,0.8029,0.8006,0.7109,0.7500,0.7664
23,0.2753,0.9000,0.9119,0.6219,0.7837,0.7798,0.5475,0.8173,0.8095,0.6962,0.7500,0.7500
24,0.2706,0.9086,0.9213,0.5666,0.7933,0.7984,0.4504,0.8510,0.8586,0.6828,0.7356,0.7381
25,0.2644,0.9031,0.9167,0.8040,0.7404,0.7247,0.6417,0.7740,0.7589,0.9664,0.7067,0.6905
26,0.2546,0.9099,0.9199,0.6910,0.7692,0.7537,0.5696,0.8125,0.7991,0.8124,0.7260,0.7083
27,0.2420,0.9210,0.9304,0.7551,0.7524,0.7396,0.6416,0.7933,0.7812,0.8686,0.7115,0.6979
28,0.2385,0.9130,0.9248,0.5846,0.7933,0.7917,0.4874,0.8317,0.8259,0.6817,0.7548,0.7574
29,0.2283,0.9179,0.9286,0.6081,0.7957,0.7954,0.4492,0.8510,0.8542,0.7670,0.7404,0.7366
30,0.2138,0.9352,0.9436,0.6830,0.7620,0.7500,0.5306,0.8029,0.7917,0.8355,0.7212,0.7083
31,0.2203,0.9333,0.9426,0.6430,0.7885,0.7842,0.4983,0.8365,0.8318,0.7877,0.7404,0.7366
