epoch,train_loss,train_acc,train_recall,val_loss,val_acc,val_recall,male_loss,male_acc,male_recall,female_loss,female_acc,female_recall
1,1.9930,0.2247,0.2142,1.7885,0.2716,0.2351,1.7526,0.3413,0.2857,1.8198,0.2019,0.1845
2,1.6943,0.4198,0.4148,1.5359,0.4639,0.5007,1.4990,0.5096,0.5327,1.5668,0.4183,0.4688
3,1.4989,0.4969,0.5064,1.5098,0.3966,0.3854,1.4156,0.4038,0.3958,1.5961,0.3894,0.3750
4,1.4605,0.5438,0.5406,1.3903,0.4760,0.4702,1.3429,0.4712,0.4509,1.4375,0.4808,0.4896
5,1.1953,0.6204,0.6549,1.2663,0.5913,0.5565,1.2582,0.5913,0.5789,1.2665,0.5913,0.5342
6,1.0613,0.7037,0.7176,1.3021,0.5072,0.4896,1.2586,0.5240,0.5134,1.3453,0.4904,0.4658
7,0.9960,0.7105,0.7299,1.1949,0.4760,0.5335,1.2548,0.4327,0.4717,1.1347,0.5192,0.5952
8,0.9157,0.7389,0.7584,1.1025,0.5721,0.5804,1.0937,0.5721,0.5714,1.1097,0.5721,0.5893
9,0.7808,0.7914,0.8027,1.0435,0.5793,0.6131,1.0860,0.5529,0.5744,1.0009,0.6058,0.6518
10,0.6550,0.8519,0.8622,1.0433,0.5745,0.6004,1.1045,0.5673,0.5804,0.9817,0.5817,0.6205
11,0.6431,0.8512,0.8654,1.0011,0.6250,0.6362,0.9882,0.6635,0.6533,1.0097,0.5865,0.6190
12,0.5688,0.8698,0.8820,1.0631,0.5817,0.5744,1.1126,0.5625,0.5491,1.0133,0.6010,0.5997
13,0.5127,0.9062,0.9135,0.9824,0.5697,0.6153,1.0347,0.5481,0.5804,0.9295,0.5913,0.6503
14,0.4836,0.9062,0.9166,1.0077,0.5745,0.5982,1.0332,0.5721,0.5938,0.9821,0.5769,0.6027
15,0.4823,0.8932,0.9069,0.9951,0.5769,0.6012,1.0496,0.5529,0.5744,0.9402,0.6010,0.6280
16,0.4123,0.9352,0.9424,0.9429,0.6010,0.6310,1.0030,0.5721,0.5997,0.8823,0.6298,0.6622
17,0.3842,0.9377,0.9442,0.9735,0.5962,0.6176,1.0547,0.5577,0.5744,0.8921,0.6346,0.6607
18,0.3809,0.9389,0.9452,0.9837,0.5865,0.6168,0.9958,0.5865,0.6042,0.9675,0.5865,0.6295
19,0.3244,0.9586,0.9634,0.9828,0.5962,0.6168,1.0578,0.5673,0.5804,0.9069,0.6250,0.6533
20,0.3035,0.9593,0.9622,0.9911,0.5793,0.6064,1.0198,0.5481,0.5759,0.9602,0.6106,0.6369
21,0.2817,0.9685,0.9705,0.9560,0.6034,0.6347,1.0577,0.5625,0.5893,0.8542,0.6442,0.6801
22,0.2683,0.9784,0.9816,0.9672,0.5865,0.6190,1.0481,0.5625,0.5938,0.8835,0.6106,0.6443
23,0.2560,0.9728,0.9764,1.0017,0.5841,0.6071,1.1145,0.5481,0.5670,0.8861,0.6202,0.6473
24,0.2473,0.9790,0.9818,0.9554,0.5793,0.6027,1.0713,0.5192,0.5387,0.8393,0.6394,0.6667
25,0.2201,0.9864,0.9891,0.9807,0.5841,0.6012,1.0778,0.5385,0.5551,0.8833,0.6298,0.6473
26,0.2098,0.9901,0.9919,0.9875,0.5769,0.5990,1.1102,0.5288,0.5461,0.8645,0.6250,0.6518
