epoch,train_loss,train_acc,train_recall,val_loss,val_acc,val_recall,male_loss,male_acc,male_recall,female_loss,female_acc,female_recall
1,1.8906,0.1971,0.2091,1.7585,0.2796,0.3452,1.7524,0.2500,0.3140,1.7661,0.3171,0.3810
2,1.5351,0.3858,0.4007,1.4944,0.4758,0.4413,1.4772,0.5000,0.4598,1.5161,0.4451,0.4137
3,1.2632,0.4838,0.5058,1.2497,0.5349,0.5655,1.2737,0.5000,0.5402,1.2193,0.5793,0.5962
4,1.0345,0.5986,0.6265,1.0602,0.6210,0.6303,1.0951,0.6010,0.6176,1.0159,0.6463,0.6429
5,0.8864,0.6400,0.6657,1.0341,0.6129,0.6339,1.1134,0.5625,0.5923,0.9336,0.6768,0.6806
6,0.7959,0.6773,0.7029,0.9325,0.6398,0.6656,1.0323,0.5913,0.6265,0.8060,0.7012,0.7133
7,0.7113,0.7025,0.7301,1.0165,0.5726,0.6042,1.1103,0.5240,0.5551,0.8975,0.6341,0.6577
8,0.6324,0.7428,0.7645,0.9688,0.5753,0.6303,1.0564,0.5288,0.5982,0.8577,0.6341,0.6687
9,0.5693,0.7560,0.7790,0.8740,0.6694,0.6849,1.0030,0.6010,0.6220,0.7103,0.7561,0.7599
10,0.5167,0.7897,0.8121,0.9502,0.6263,0.6645,1.0580,0.5769,0.6265,0.8134,0.6890,0.7093
11,0.4667,0.8221,0.8423,0.9033,0.6425,0.6773,1.0250,0.5913,0.6354,0.7489,0.7073,0.7272
12,0.4349,0.8275,0.8445,0.9118,0.6640,0.6811,1.0981,0.6202,0.6369,0.6755,0.7195,0.7282
13,0.4018,0.8371,0.8560,0.8487,0.7285,0.7368,1.0075,0.7163,0.7217,0.6474,0.7439,0.7510
14,0.3659,0.8516,0.8705,0.8753,0.6882,0.7158,1.0015,0.6250,0.6652,0.7152,0.7683,0.7788
15,0.3448,0.8726,0.8884,0.9024,0.6855,0.7034,1.1461,0.6154,0.6354,0.5933,0.7744,0.7837
16,0.3190,0.8828,0.8956,0.8581,0.6909,0.7119,1.0390,0.6202,0.6384,0.6286,0.7805,0.7966
17,0.2983,0.8864,0.8997,0.9270,0.6989,0.7122,1.0883,0.6779,0.6920,0.7224,0.7256,0.7331
18,0.2823,0.8828,0.8977,0.8793,0.6882,0.7162,1.0472,0.6298,0.6637,0.6663,0.7622,0.7788
19,0.2555,0.9099,0.9215,0.9415,0.6828,0.7119,1.1075,0.6202,0.6592,0.7309,0.7622,0.7748
20,0.2514,0.9069,0.9183,0.9619,0.6640,0.7037,1.0996,0.6010,0.6488,0.7872,0.7439,0.7708
21,0.2319,0.9207,0.9297,0.9380,0.7151,0.7260,1.1321,0.6587,0.6682,0.6918,0.7866,0.7927
22,0.2325,0.9231,0.9336,0.9763,0.6667,0.6992,1.1520,0.6106,0.6503,0.7535,0.7378,0.7569
23,0.2173,0.9261,0.9342,0.8812,0.7070,0.7209,1.0786,0.6346,0.6503,0.6308,0.7988,0.8046
