epoch,train_loss,train_acc,train_recall,val_loss,val_acc,val_recall,male_loss,male_acc,male_recall,female_loss,female_acc,female_recall
1,1.8891,0.2235,0.2196,1.7205,0.3582,0.3438,1.7310,0.3269,0.3110,1.7099,0.3894,0.3765
2,1.5663,0.3796,0.3943,1.3473,0.4808,0.4993,1.3394,0.4567,0.4851,1.3551,0.5048,0.5134
3,1.2213,0.5519,0.5622,1.0817,0.5938,0.6243,1.0920,0.5673,0.6027,1.0715,0.6202,0.6458
4,1.0328,0.6160,0.6370,1.1211,0.5649,0.5350,1.1704,0.5240,0.5164,1.0718,0.6058,0.5536
5,0.9167,0.6611,0.6663,0.9367,0.6154,0.6548,1.0488,0.5433,0.5908,0.8246,0.6875,0.7188
6,0.8138,0.6864,0.7059,0.8805,0.6154,0.6518,0.8880,0.6154,0.6607,0.8731,0.6154,0.6429
7,0.7245,0.7265,0.7437,0.8195,0.6538,0.6793,0.8325,0.6442,0.6756,0.8066,0.6635,0.6830
8,0.6483,0.7488,0.7660,0.8355,0.6346,0.6637,0.8768,0.6106,0.6458,0.7941,0.6587,0.6815
9,0.6033,0.7648,0.7847,0.8085,0.6514,0.6801,0.8933,0.6154,0.6443,0.7238,0.6875,0.7158
10,0.5544,0.7901,0.8058,0.7810,0.6466,0.6838,0.8905,0.6010,0.6473,0.6714,0.6923,0.7202
11,0.5111,0.8056,0.8242,0.7624,0.6779,0.7083,0.8905,0.6442,0.6771,0.6343,0.7115,0.7396
12,0.4751,0.8241,0.8359,0.7373,0.6875,0.7091,0.8160,0.6635,0.6860,0.6587,0.7115,0.7321
13,0.4682,0.8315,0.8462,0.8309,0.6322,0.6667,1.0217,0.5673,0.6057,0.6400,0.6971,0.7277
14,0.4405,0.8340,0.8495,0.7074,0.6875,0.7225,0.7711,0.6442,0.6845,0.6438,0.7308,0.7604
15,0.3835,0.8611,0.8753,0.8330,0.6611,0.6778,0.9321,0.6346,0.6637,0.7339,0.6875,0.6920
16,0.3790,0.8617,0.8739,0.8014,0.6779,0.7061,0.8625,0.6442,0.6830,0.7403,0.7115,0.7292
17,0.3436,0.8673,0.8788,0.8120,0.6779,0.7068,0.8445,0.6538,0.6860,0.7794,0.7019,0.7277
18,0.3485,0.8710,0.8839,0.7828,0.6538,0.6853,0.9541,0.6010,0.6399,0.6116,0.7067,0.7307
19,0.3130,0.8914,0.9023,0.9056,0.6611,0.6890,1.0489,0.6202,0.6562,0.7623,0.7019,0.7217
20,0.3081,0.8883,0.8987,0.7039,0.7236,0.7440,0.8908,0.6635,0.6875,0.5169,0.7837,0.8006
21,0.2920,0.8975,0.9086,0.8195,0.6851,0.7061,0.9623,0.6394,0.6682,0.6767,0.7308,0.7440
22,0.2699,0.9086,0.9189,0.9540,0.6779,0.6793,1.1029,0.6442,0.6473,0.8052,0.7115,0.7113
23,0.2596,0.9154,0.9263,0.8424,0.7019,0.7307,0.9390,0.6683,0.7039,0.7458,0.7356,0.7574
24,0.2617,0.9117,0.9205,0.8017,0.6971,0.7173,0.9859,0.6490,0.6756,0.6176,0.7452,0.7589
25,0.2459,0.9179,0.9270,0.8634,0.6899,0.7001,1.0456,0.6394,0.6548,0.6812,0.7404,0.7455
26,0.2389,0.9247,0.9344,0.8678,0.6875,0.7150,1.0542,0.6394,0.6726,0.6814,0.7356,0.7574
27,0.2332,0.9173,0.9276,0.9451,0.6635,0.6860,1.1475,0.6250,0.6533,0.7427,0.7019,0.7188
28,0.2236,0.9309,0.9391,0.8347,0.6923,0.7128,1.0252,0.6394,0.6637,0.6442,0.7452,0.7619
29,0.2281,0.9216,0.9312,0.9232,0.6683,0.6905,1.1195,0.6298,0.6548,0.7269,0.7067,0.7262
30,0.2130,0.9278,0.9372,0.8307,0.7067,0.7307,1.0241,0.6538,0.6815,0.6373,0.7596,0.7798
