epoch,train_loss,train_acc,train_recall,val_loss,val_acc,val_recall,male_loss,male_acc,male_recall,female_loss,female_acc,female_recall
1,2.0628,0.1821,0.1968,1.8276,0.3750,0.2946,1.8495,0.3942,0.3110,1.8056,0.3558,0.2783
2,1.7420,0.3475,0.3511,1.4727,0.5096,0.5290,1.5182,0.4760,0.4673,1.4267,0.5433,0.5908
3,1.5323,0.4556,0.4862,1.3824,0.5048,0.4985,1.4548,0.5385,0.4955,1.3097,0.4712,0.5015
4,1.6788,0.4358,0.4602,1.4558,0.3341,0.3460,1.5075,0.3173,0.3214,1.4041,0.3510,0.3705
5,1.3924,0.5401,0.5761,1.1935,0.5553,0.5521,1.2876,0.5240,0.4821,1.0984,0.5865,0.6220
6,1.1967,0.6296,0.6384,0.9983,0.6611,0.6830,1.0258,0.6779,0.6845,0.9704,0.6442,0.6815
7,1.0548,0.6957,0.7117,1.0107,0.6803,0.6644,1.1038,0.6298,0.5848,0.9116,0.7308,0.7440
8,1.1294,0.6426,0.6591,1.2175,0.5986,0.5246,1.3045,0.6154,0.5223,1.1240,0.5817,0.5268
9,0.9947,0.7130,0.7175,0.9457,0.6514,0.6429,0.9964,0.6298,0.6116,0.8918,0.6731,0.6741
10,0.8936,0.7840,0.7915,0.8446,0.7356,0.7321,0.9083,0.7163,0.6920,0.7805,0.7548,0.7723
11,0.9068,0.7864,0.7921,0.7792,0.7500,0.7522,0.8458,0.7260,0.7098,0.7122,0.7740,0.7946
12,0.8063,0.7753,0.8070,0.8738,0.6971,0.6652,0.9204,0.7115,0.6607,0.8268,0.6827,0.6696
13,0.6951,0.8420,0.8510,0.7162,0.7740,0.7917,0.7923,0.7404,0.7515,0.6400,0.8077,0.8318
14,0.6441,0.8580,0.8689,0.7111,0.7572,0.7626,0.7551,0.7404,0.7277,0.6667,0.7740,0.7976
15,0.6039,0.8747,0.8809,0.6825,0.7620,0.7708,0.7468,0.7452,0.7411,0.6175,0.7788,0.8006
16,0.5670,0.8969,0.9072,0.6573,0.7861,0.7954,0.7143,0.7885,0.7812,0.6001,0.7837,0.8095
17,0.5031,0.9086,0.9194,0.6582,0.7861,0.7954,0.7329,0.7596,0.7574,0.5816,0.8125,0.8333
18,0.4704,0.9222,0.9294,0.6433,0.7764,0.7857,0.7018,0.7596,0.7589,0.5842,0.7933,0.8125
19,0.4777,0.9160,0.9246,0.6525,0.7716,0.7775,0.7134,0.7548,0.7560,0.5913,0.7885,0.7991
20,0.4251,0.9309,0.9385,0.6062,0.8005,0.8028,0.6668,0.7837,0.7768,0.5445,0.8173,0.8289
21,0.4217,0.9389,0.9432,0.6318,0.7837,0.7746,0.6805,0.7885,0.7619,0.5805,0.7788,0.7872
22,0.3758,0.9414,0.9471,0.6225,0.7764,0.7693,0.6664,0.7740,0.7560,0.5778,0.7788,0.7827
23,0.3749,0.9562,0.9592,0.6259,0.7692,0.7612,0.6731,0.7692,0.7426,0.5767,0.7692,0.7798
24,0.3458,0.9636,0.9665,0.6337,0.7596,0.7537,0.6866,0.7548,0.7307,0.5774,0.7644,0.7768
25,0.3410,0.9580,0.9622,0.5638,0.7909,0.7939,0.6109,0.7837,0.7708,0.5158,0.7981,0.8170
26,0.3194,0.9698,0.9741,0.5762,0.7837,0.7969,0.6173,0.7788,0.7812,0.5349,0.7885,0.8125
27,0.3018,0.9704,0.9743,0.5889,0.7837,0.7812,0.6321,0.7981,0.7798,0.5450,0.7692,0.7827
28,0.2956,0.9759,0.9789,0.5423,0.8101,0.8162,0.6055,0.7933,0.7857,0.4779,0.8269,0.8467
29,0.2730,0.9772,0.9795,0.5375,0.7957,0.8028,0.5788,0.7837,0.7753,0.4958,0.8077,0.8304
30,0.2602,0.9815,0.9846,0.5324,0.8149,0.8185,0.5770,0.8077,0.7976,0.4869,0.8221,0.8393
31,0.2502,0.9809,0.9839,0.5430,0.8149,0.8199,0.6066,0.8029,0.7932,0.4786,0.8269,0.8467
32,0.2430,0.9809,0.9831,0.5439,0.8005,0.8058,0.5938,0.7933,0.7827,0.4931,0.8077,0.8289
33,0.2349,0.9846,0.9862,0.5534,0.8005,0.7991,0.6019,0.8029,0.7872,0.5029,0.7981,0.8110
34,0.2321,0.9883,0.9900,0.5615,0.7981,0.8073,0.6267,0.7837,0.7812,0.4958,0.8125,0.8333
35,0.2212,0.9901,0.9916,0.5491,0.7957,0.7946,0.5855,0.8077,0.7917,0.5112,0.7837,0.7976
36,0.2122,0.9864,0.9887,0.5264,0.8077,0.8125,0.5746,0.8077,0.7961,0.4773,0.8077,0.8289
37,0.2092,0.9901,0.9914,0.5219,0.8077,0.8058,0.5548,0.8077,0.7872,0.4888,0.8077,0.8244
38,0.2013,0.9932,0.9942,0.5058,0.8197,0.8251,0.5603,0.8125,0.8036,0.4502,0.8269,0.8467
39,0.1961,0.9932,0.9940,0.5240,0.8005,0.8065,0.5703,0.7885,0.7798,0.4760,0.8125,0.8333
40,0.1989,0.9932,0.9942,0.5306,0.8077,0.8125,0.5836,0.8029,0.7917,0.4759,0.8125,0.8333
41,0.1856,0.9975,0.9981,0.5142,0.8125,0.8177,0.5632,0.8221,0.8110,0.4643,0.8029,0.8244
42,0.1768,0.9920,0.9933,0.5129,0.8029,0.8073,0.5522,0.8221,0.8110,0.4730,0.7837,0.8036
43,0.1792,0.9951,0.9960,0.5092,0.8053,0.8065,0.5531,0.8077,0.7932,0.4636,0.8029,0.8199
44,0.1713,0.9957,0.9964,0.5115,0.8053,0.8110,0.5529,0.8029,0.7932,0.4687,0.8077,0.8289
45,0.1677,0.9969,0.9975,0.5062,0.8077,0.8140,0.5480,0.8125,0.8021,0.4632,0.8029,0.8259
46,0.1654,0.9988,0.9990,0.5288,0.8173,0.8170,0.5845,0.8221,0.8051,0.4711,0.8125,0.8289
47,0.1610,0.9975,0.9979,0.5069,0.8053,0.8110,0.5589,0.7981,0.7887,0.4533,0.8125,0.8333
48,0.1632,0.9963,0.9967,0.5208,0.8077,0.8065,0.5760,0.8125,0.7976,0.4629,0.8029,0.8155
