epoch,train_loss,train_acc,train_recall,val_loss,val_acc,val_recall,male_loss,male_acc,male_recall,female_loss,female_acc,female_recall
1,2.1297,0.1821,0.1670,1.9097,0.1855,0.1932,1.8716,0.1875,0.1920,1.9547,0.1829,0.1935
2,1.8123,0.3029,0.3144,1.6908,0.4435,0.4220,1.6671,0.4423,0.4360,1.7204,0.4451,0.4107
3,1.6743,0.3936,0.3899,1.6465,0.2473,0.2702,1.6092,0.2308,0.2589,1.6769,0.2683,0.2867
4,1.6820,0.4507,0.4637,1.5074,0.3253,0.3873,1.5071,0.3077,0.3750,1.5053,0.3476,0.4008
5,1.4087,0.5379,0.5621,1.3091,0.5188,0.5563,1.3166,0.5144,0.5476,1.2994,0.5244,0.5635
6,1.2422,0.6082,0.6192,1.1715,0.5941,0.6150,1.2245,0.5144,0.5461,1.1040,0.6951,0.7024
7,1.0640,0.6893,0.7143,1.1190,0.6613,0.6450,1.1592,0.5962,0.5640,1.0668,0.7439,0.7381
8,0.9852,0.7212,0.7500,1.0883,0.5995,0.6235,1.1451,0.5529,0.5818,1.0120,0.6585,0.6746
9,0.9061,0.7452,0.7677,1.1697,0.6210,0.5997,1.2176,0.5769,0.5640,1.0936,0.6768,0.6488
10,0.8265,0.7542,0.7742,1.0474,0.5430,0.5699,1.0956,0.5048,0.5342,0.9836,0.5915,0.6161
11,0.8239,0.7831,0.8086,0.9897,0.6371,0.6269,1.0745,0.5625,0.5402,0.8761,0.7317,0.7292
12,0.7259,0.8029,0.8242,0.9046,0.7151,0.7222,0.9888,0.6538,0.6607,0.7917,0.7927,0.7966
13,0.6480,0.8552,0.8702,0.8983,0.6640,0.6686,0.9677,0.6058,0.6012,0.8030,0.7378,0.7480
14,0.5690,0.8828,0.8930,0.9846,0.6210,0.6156,1.0738,0.5673,0.5640,0.8689,0.6890,0.6815
15,0.5548,0.8840,0.8936,0.8835,0.6290,0.6571,0.9710,0.5673,0.6027,0.7707,0.7073,0.7252
16,0.5088,0.9069,0.9200,0.8539,0.6882,0.6971,0.9599,0.6202,0.6295,0.7117,0.7744,0.7827
17,0.4598,0.9038,0.9141,0.8518,0.6801,0.6835,0.9349,0.6298,0.6295,0.7427,0.7439,0.7480
18,0.4109,0.9267,0.9328,0.8146,0.7177,0.7304,0.9073,0.6490,0.6592,0.6959,0.8049,0.8165
19,0.3799,0.9327,0.9397,0.8252,0.6935,0.7037,0.9054,0.6442,0.6548,0.7216,0.7561,0.7629
20,0.3681,0.9435,0.9505,0.8382,0.6720,0.6832,0.9253,0.6202,0.6220,0.7254,0.7378,0.7530
21,0.3414,0.9555,0.9602,0.8497,0.6828,0.6860,0.9542,0.6250,0.6310,0.7157,0.7561,0.7550
22,0.3249,0.9633,0.9671,0.8061,0.7070,0.7194,0.9014,0.6538,0.6711,0.6846,0.7744,0.7808
23,0.3047,0.9645,0.9693,0.7682,0.7231,0.7392,0.8595,0.6635,0.6860,0.6504,0.7988,0.8056
24,0.2798,0.9688,0.9725,0.8286,0.6613,0.6781,0.9370,0.5865,0.5982,0.6902,0.7561,0.7728
25,0.2760,0.9742,0.9792,0.7932,0.7124,0.7160,0.8993,0.6635,0.6637,0.6573,0.7744,0.7768
26,0.2656,0.9760,0.9795,0.8215,0.7070,0.7030,0.9409,0.6442,0.6384,0.6686,0.7866,0.7817
27,0.2400,0.9772,0.9803,0.8027,0.6935,0.6945,0.9215,0.6298,0.6295,0.6496,0.7744,0.7738
28,0.2303,0.9802,0.9833,0.7895,0.6747,0.6990,0.9051,0.5865,0.6086,0.6420,0.7866,0.8075
29,0.2242,0.9826,0.9859,0.7914,0.7016,0.7107,0.9038,0.6346,0.6384,0.6484,0.7866,0.7966
30,0.2150,0.9886,0.9903,0.7970,0.6774,0.6907,0.9211,0.6010,0.6116,0.6384,0.7744,0.7857
31,0.1969,0.9928,0.9942,0.7901,0.6962,0.6937,0.9062,0.6346,0.6310,0.6423,0.7744,0.7698
32,0.1918,0.9892,0.9909,0.7876,0.7070,0.7064,0.9083,0.6394,0.6443,0.6330,0.7927,0.7847
33,0.1759,0.9898,0.9916,0.7833,0.6909,0.7009,0.9098,0.6154,0.6235,0.6223,0.7866,0.7937
