epoch,train_loss,train_acc,train_recall,val_loss,val_acc,val_recall,male_loss,male_acc,male_recall,female_loss,female_acc,female_recall
1,1.7803,0.3006,0.3145,1.4679,0.4736,0.5022,1.5143,0.4038,0.4435,1.4215,0.5433,0.5610
2,1.1988,0.5778,0.5979,1.1210,0.6178,0.6376,1.2214,0.5673,0.5789,1.0207,0.6683,0.6964
3,0.9063,0.6944,0.7087,0.9869,0.6442,0.6845,1.1448,0.5481,0.5863,0.8291,0.7404,0.7827
4,0.6916,0.7660,0.7861,1.0372,0.6226,0.6347,1.1760,0.5769,0.5833,0.8984,0.6683,0.6860
5,0.5570,0.8414,0.8549,0.9316,0.6514,0.6510,1.0585,0.6346,0.6161,0.8047,0.6683,0.6860
6,0.4694,0.8642,0.8769,0.9884,0.5865,0.5774,1.1441,0.5240,0.5060,0.8327,0.6490,0.6488
7,0.3931,0.9019,0.9104,0.8248,0.7236,0.6964,1.0110,0.6827,0.6295,0.6386,0.7644,0.7634
8,0.3180,0.9383,0.9445,0.8909,0.6899,0.6674,1.0437,0.6779,0.6339,0.7381,0.7019,0.7009
9,0.2765,0.9512,0.9564,0.8383,0.6683,0.6644,0.9623,0.6394,0.6131,0.7142,0.6971,0.7158
10,0.2389,0.9611,0.9659,0.8130,0.6514,0.6562,0.9350,0.6202,0.6131,0.6910,0.6827,0.6994
11,0.2059,0.9698,0.9730,0.8419,0.6779,0.6510,0.9810,0.6538,0.6057,0.7029,0.7019,0.6964
12,0.1795,0.9796,0.9833,0.8625,0.6707,0.6689,1.0087,0.6346,0.6071,0.7162,0.7067,0.7307
13,0.1568,0.9840,0.9862,0.8275,0.6947,0.6897,1.0406,0.6490,0.6295,0.6145,0.7404,0.7500
14,0.1357,0.9932,0.9942,0.8047,0.6779,0.6607,0.9235,0.6731,0.6324,0.6859,0.6827,0.6890
15,0.1228,0.9944,0.9952,0.8441,0.6587,0.6451,0.9303,0.6587,0.6235,0.7579,0.6587,0.6667
16,0.1056,0.9951,0.9958,0.8559,0.6490,0.6414,0.9275,0.6538,0.6205,0.7842,0.6442,0.6622
17,0.0932,0.9981,0.9985,0.8514,0.7043,0.6972,1.0130,0.6923,0.6637,0.6898,0.7163,0.7307
18,0.0840,0.9981,0.9985,0.9005,0.6803,0.6600,1.0576,0.6587,0.6161,0.7433,0.7019,0.7039
19,0.0782,0.9994,0.9994,0.8363,0.6827,0.6682,0.9784,0.6779,0.6384,0.6942,0.6875,0.6979
20,0.0696,1.0000,1.0000,0.9105,0.6442,0.6369,0.9851,0.6635,0.6265,0.8360,0.6250,0.6473
21,0.0641,1.0000,1.0000,0.8404,0.6611,0.6615,0.9625,0.6538,0.6295,0.7184,0.6683,0.6935
22,0.0596,1.0000,1.0000,0.9091,0.6538,0.6488,1.0123,0.6923,0.6533,0.8058,0.6154,0.6443
23,0.0577,1.0000,1.0000,0.9135,0.6659,0.6607,1.0732,0.6635,0.6310,0.7538,0.6683,0.6905
24,0.0555,1.0000,1.0000,0.9201,0.6346,0.6302,1.0055,0.6490,0.6220,0.8347,0.6202,0.6384
