epoch,train_loss,train_acc,train_recall,val_loss,val_acc,val_recall,male_loss,male_acc,male_recall,female_loss,female_acc,female_recall
1,1.8783,0.2759,0.2741,1.5531,0.4135,0.4360,1.5761,0.3365,0.3557,1.5300,0.4904,0.5164
2,1.2955,0.5543,0.5592,1.2742,0.5144,0.5342,1.2721,0.5577,0.5521,1.2764,0.4712,0.5164
3,0.9320,0.6796,0.6813,1.1920,0.5457,0.5551,1.2724,0.4904,0.4970,1.1116,0.6010,0.6131
4,0.6758,0.8025,0.8125,1.2626,0.4976,0.5521,1.3963,0.4327,0.4792,1.1288,0.5625,0.6250
5,0.5427,0.8377,0.8489,1.1475,0.5385,0.5647,1.2821,0.4856,0.5074,1.0129,0.5913,0.6220
6,0.4282,0.8938,0.8994,1.2209,0.5529,0.5856,1.3087,0.5288,0.5476,1.1331,0.5769,0.6235
7,0.3596,0.9111,0.9178,1.1040,0.5986,0.6086,1.2243,0.5817,0.5863,0.9837,0.6154,0.6310
8,0.2782,0.9401,0.9478,1.1167,0.5817,0.6101,1.2488,0.5385,0.5625,0.9845,0.6250,0.6577
9,0.2336,0.9574,0.9608,1.2227,0.5769,0.5938,1.3798,0.5481,0.5640,1.0656,0.6058,0.6235
10,0.2055,0.9642,0.9685,1.3252,0.5577,0.5938,1.3395,0.5625,0.5952,1.3110,0.5529,0.5923
11,0.1740,0.9778,0.9812,1.3428,0.5793,0.6176,1.5195,0.5240,0.5446,1.1662,0.6346,0.6905
12,0.1480,0.9815,0.9831,1.2066,0.5986,0.6250,1.3490,0.5529,0.5655,1.0641,0.6442,0.6845
13,0.1298,0.9895,0.9908,1.2571,0.5913,0.6287,1.4140,0.5433,0.5685,1.1002,0.6394,0.6890
14,0.1179,0.9852,0.9871,1.2168,0.6010,0.6243,1.4122,0.5481,0.5610,1.0214,0.6538,0.6875
15,0.1057,0.9920,0.9933,1.2867,0.5986,0.6228,1.4364,0.5625,0.5744,1.1369,0.6346,0.6711
16,0.0920,0.9938,0.9952,1.3107,0.6058,0.6376,1.4871,0.5529,0.5685,1.1343,0.6587,0.7068
17,0.0815,0.9969,0.9971,1.3277,0.5962,0.6205,1.4904,0.5529,0.5655,1.1651,0.6394,0.6756
