epoch,train_loss,train_acc,train_recall,val_loss,val_acc,val_recall,male_loss,male_acc,male_recall,female_loss,female_acc,female_recall
1,1.8984,0.2265,0.2105,1.7237,0.3341,0.3728,1.7126,0.3798,0.4062,1.7348,0.2885,0.3393
2,1.5338,0.4185,0.4151,1.4725,0.4279,0.4435,1.5619,0.4279,0.4062,1.3830,0.4279,0.4807
3,1.1690,0.5623,0.5768,1.3267,0.4976,0.5365,1.3195,0.5000,0.5134,1.3338,0.4952,0.5595
4,0.9442,0.6383,0.6535,1.4435,0.4760,0.4866,1.4423,0.4952,0.4970,1.4447,0.4567,0.4762
5,0.8291,0.6654,0.6796,1.1484,0.5745,0.6071,1.2094,0.5481,0.5536,1.0875,0.6010,0.6607
6,0.7425,0.7247,0.7395,1.1626,0.5721,0.6004,1.2315,0.5577,0.5565,1.0936,0.5865,0.6443
7,0.6710,0.7377,0.7552,1.3690,0.5433,0.5714,1.4265,0.5385,0.5357,1.3116,0.5481,0.6071
8,0.5834,0.7778,0.7977,1.2901,0.5938,0.6138,1.4690,0.5769,0.5729,1.1112,0.6106,0.6548
9,0.5179,0.8062,0.8227,1.3235,0.5601,0.6019,1.4095,0.5385,0.5521,1.2375,0.5817,0.6518
10,0.4926,0.8148,0.8296,1.2947,0.5721,0.6265,1.3851,0.5625,0.5789,1.2042,0.5817,0.6741
11,0.4762,0.8142,0.8315,1.3810,0.5841,0.6012,1.5859,0.5433,0.5298,1.1760,0.6250,0.6726
12,0.4120,0.8481,0.8596,1.4853,0.5553,0.6079,1.6195,0.5433,0.5595,1.3511,0.5673,0.6562
13,0.3747,0.8593,0.8715,1.4162,0.5865,0.6243,1.5266,0.5625,0.5655,1.3059,0.6106,0.6830
14,0.3487,0.8753,0.8878,1.5267,0.5697,0.6109,1.6054,0.5577,0.5685,1.4480,0.5817,0.6533
15,0.3405,0.8698,0.8847,1.4443,0.5938,0.6220,1.6379,0.5577,0.5580,1.2508,0.6298,0.6860
