epoch,train_loss,train_acc,train_recall,val_loss,val_acc,val_recall,male_loss,male_acc,male_recall,female_loss,female_acc,female_recall
1,2.0088,0.2117,0.2131,1.8444,0.1394,0.2009,1.8525,0.1442,0.2054,1.8359,0.1346,0.1964
2,1.6772,0.4389,0.4535,1.5882,0.3990,0.4100,1.6083,0.3990,0.4107,1.5496,0.3990,0.4092
3,1.6066,0.4346,0.4559,1.5624,0.4543,0.4055,1.5836,0.4471,0.4077,1.5118,0.4615,0.4033
4,1.5045,0.4852,0.4945,1.4908,0.3990,0.4598,1.5230,0.3702,0.4375,1.4452,0.4279,0.4821
5,1.3060,0.5426,0.5820,1.2797,0.5000,0.5327,1.3858,0.3894,0.4152,1.1728,0.6106,0.6503
6,1.1902,0.6056,0.6356,1.4001,0.3726,0.3973,1.4708,0.3654,0.3943,1.3152,0.3798,0.4003
7,1.0870,0.6932,0.7148,1.1147,0.5986,0.6116,1.2362,0.5288,0.5342,0.9930,0.6683,0.6890
8,0.9952,0.7130,0.7416,1.0966,0.6178,0.6094,1.2017,0.5769,0.5625,0.9796,0.6587,0.6562
9,0.8825,0.7519,0.7733,1.0805,0.6346,0.6012,1.1887,0.6298,0.5938,0.9560,0.6394,0.6086
10,0.7733,0.8037,0.8108,0.9908,0.6779,0.6793,1.1665,0.5962,0.5833,0.8106,0.7596,0.7753
11,0.7367,0.8080,0.8302,1.0522,0.6106,0.6146,1.2305,0.5240,0.5268,0.8682,0.6971,0.7024
12,0.7361,0.8111,0.8366,0.9563,0.6587,0.6652,1.0613,0.6346,0.6220,0.8435,0.6827,0.7083
13,0.6517,0.8438,0.8625,0.9146,0.6947,0.6935,1.0441,0.6635,0.6503,0.7741,0.7260,0.7366
14,0.5863,0.8858,0.8990,0.9423,0.6899,0.6808,1.1036,0.6394,0.6057,0.7637,0.7404,0.7560
15,0.5420,0.8926,0.9032,0.8947,0.7356,0.7188,1.0632,0.6875,0.6518,0.7208,0.7837,0.7857
16,0.5266,0.8951,0.9037,0.8575,0.7212,0.7262,1.0197,0.6635,0.6518,0.6894,0.7788,0.8006
17,0.4761,0.9167,0.9266,0.8596,0.7163,0.7158,1.0207,0.6587,0.6265,0.6856,0.7740,0.8051
18,0.4544,0.9241,0.9329,0.8356,0.7308,0.7240,0.9806,0.6875,0.6503,0.6739,0.7740,0.7976
19,0.4370,0.9352,0.9427,0.8804,0.7188,0.7135,1.0579,0.6779,0.6429,0.6882,0.7596,0.7842
20,0.3953,0.9340,0.9390,0.8149,0.7332,0.7240,0.9725,0.6971,0.6592,0.6432,0.7692,0.7887
21,0.3749,0.9481,0.9534,0.8554,0.6683,0.6957,1.0063,0.6490,0.6503,0.6959,0.6875,0.7411
22,0.3672,0.9475,0.9546,0.8088,0.7284,0.7195,0.9467,0.6875,0.6473,0.6587,0.7692,0.7917
23,0.3330,0.9660,0.9700,0.8378,0.7139,0.7128,1.0081,0.6779,0.6518,0.6543,0.7500,0.7738
24,0.3246,0.9636,0.9666,0.7902,0.7452,0.7366,0.9661,0.6875,0.6518,0.6037,0.8029,0.8214
25,0.3126,0.9704,0.9735,0.8160,0.7404,0.7299,1.0038,0.6923,0.6548,0.6135,0.7885,0.8051
26,0.3008,0.9728,0.9756,0.8622,0.7019,0.6942,1.0325,0.6779,0.6473,0.6764,0.7260,0.7411
27,0.2870,0.9741,0.9770,0.8380,0.7188,0.7135,1.0083,0.6923,0.6637,0.6505,0.7452,0.7634
28,0.2715,0.9716,0.9743,0.8386,0.6827,0.6994,0.9751,0.6827,0.6696,0.6916,0.6827,0.7292
29,0.2603,0.9796,0.9837,0.7793,0.7404,0.7336,0.9420,0.6971,0.6592,0.6035,0.7837,0.8080
30,0.2423,0.9870,0.9883,0.7886,0.7260,0.7262,0.9335,0.7019,0.6726,0.6310,0.7500,0.7798
31,0.2363,0.9870,0.9885,0.7959,0.7067,0.6972,0.9274,0.6875,0.6429,0.6470,0.7260,0.7515
32,0.2391,0.9877,0.9889,0.7928,0.7260,0.7217,0.9604,0.6875,0.6458,0.6095,0.7644,0.7976
33,0.2260,0.9877,0.9887,0.8036,0.7308,0.7195,0.9909,0.6875,0.6473,0.6001,0.7740,0.7917
34,0.2135,0.9901,0.9910,0.7587,0.7452,0.7388,0.9172,0.7115,0.6711,0.5871,0.7788,0.8065
35,0.2048,0.9920,0.9927,0.7747,0.7284,0.7247,0.9456,0.6827,0.6488,0.5908,0.7740,0.8006
36,0.2046,0.9920,0.9935,0.7847,0.7188,0.7091,0.9336,0.6875,0.6414,0.6188,0.7500,0.7768
37,0.1960,0.9932,0.9939,0.7916,0.7308,0.7247,0.9592,0.6971,0.6652,0.6112,0.7644,0.7842
38,0.1860,0.9957,0.9962,0.7768,0.7308,0.7217,0.9315,0.7115,0.6711,0.6089,0.7500,0.7723
39,0.1821,0.9963,0.9967,0.8056,0.7091,0.7031,0.9675,0.6779,0.6443,0.6270,0.7404,0.7619
40,0.1765,0.9957,0.9964,0.7793,0.7284,0.7269,0.9530,0.6923,0.6667,0.5921,0.7644,0.7872
41,0.1731,0.9969,0.9973,0.7702,0.7476,0.7403,0.9620,0.7019,0.6637,0.5662,0.7933,0.8170
42,0.1683,0.9988,0.9990,0.7658,0.7428,0.7359,0.9517,0.6971,0.6592,0.5664,0.7885,0.8125
43,0.1668,0.9969,0.9973,0.7875,0.7236,0.7173,0.9847,0.6731,0.6384,0.5767,0.7740,0.7961
44,0.1618,0.9981,0.9983,0.7758,0.7308,0.7225,0.9367,0.7019,0.6622,0.6010,0.7596,0.7827
