epoch,train_loss,train_acc,train_recall,val_loss,val_acc,val_recall,male_loss,male_acc,male_recall,female_loss,female_acc,female_recall
1,1.8903,0.2599,0.2769,1.7158,0.3462,0.3772,1.7221,0.3462,0.3750,1.7095,0.3462,0.3795
2,1.5944,0.4167,0.4458,1.5262,0.3341,0.3832,1.5670,0.3029,0.3333,1.4850,0.3654,0.4330
3,1.5215,0.5185,0.5260,1.5284,0.3582,0.3914,1.6143,0.3029,0.3289,1.4425,0.4135,0.4539
4,1.4140,0.5340,0.5547,1.3473,0.4856,0.5320,1.4383,0.4327,0.4643,1.2562,0.5385,0.5997
5,1.1631,0.6475,0.6737,1.2611,0.5288,0.5216,1.3195,0.4904,0.4807,1.1886,0.5673,0.5625
6,1.0836,0.6457,0.6655,1.2000,0.6130,0.6057,1.2854,0.5769,0.5655,1.1056,0.6490,0.6458
7,1.1062,0.6809,0.6922,1.1748,0.6490,0.6153,1.2901,0.5625,0.5193,1.0454,0.7356,0.7113
8,0.9384,0.7586,0.7714,1.0820,0.5361,0.5804,1.1480,0.5288,0.5625,1.0140,0.5433,0.5982
9,0.8313,0.7741,0.7954,1.0185,0.6755,0.6629,1.1081,0.6587,0.6310,0.9186,0.6923,0.6949
10,0.7681,0.8191,0.8263,1.0209,0.5889,0.5997,1.0818,0.5865,0.5699,0.9545,0.5913,0.6295
11,0.6868,0.8432,0.8558,0.9693,0.6611,0.6562,1.0466,0.6298,0.6116,0.8801,0.6923,0.7009
12,0.6625,0.8444,0.8628,0.9472,0.6899,0.6801,1.0725,0.6538,0.6220,0.8132,0.7260,0.7381
13,0.5990,0.8722,0.8797,0.9847,0.6202,0.6235,1.0962,0.6106,0.5833,0.8670,0.6298,0.6637
14,0.6115,0.8840,0.8892,1.0227,0.7139,0.6682,1.1410,0.6683,0.6086,0.8894,0.7596,0.7277
15,0.6332,0.8543,0.8693,0.9148,0.7019,0.6815,1.0764,0.6442,0.6086,0.7443,0.7596,0.7545
16,0.5255,0.9154,0.9216,0.9040,0.7043,0.6875,1.0321,0.6875,0.6518,0.7659,0.7212,0.7232
17,0.4849,0.9340,0.9392,0.8989,0.6803,0.6749,1.0275,0.6250,0.6012,0.7631,0.7356,0.7485
18,0.4306,0.9395,0.9439,0.8996,0.7091,0.6994,1.0801,0.6298,0.5952,0.7073,0.7885,0.8036
19,0.3930,0.9432,0.9484,0.8383,0.6971,0.6875,0.9621,0.6538,0.6220,0.7095,0.7404,0.7530
20,0.3933,0.9593,0.9627,0.8279,0.7019,0.6860,0.9522,0.6635,0.6205,0.6975,0.7404,0.7515
21,0.3457,0.9623,0.9657,0.8011,0.7236,0.7039,0.9655,0.6346,0.5878,0.6306,0.8125,0.8199
22,0.3329,0.9691,0.9718,0.8896,0.6851,0.6674,1.0657,0.6442,0.5967,0.7036,0.7260,0.7381
23,0.3348,0.9648,0.9676,0.7910,0.6899,0.6935,0.9079,0.6394,0.6205,0.6683,0.7404,0.7664
24,0.3027,0.9728,0.9745,0.8050,0.7067,0.6920,0.9451,0.6587,0.6176,0.6559,0.7548,0.7664
25,0.2773,0.9809,0.9822,0.7866,0.7308,0.7195,0.9292,0.6779,0.6443,0.6349,0.7837,0.7946
26,0.2735,0.9765,0.9787,0.7988,0.7043,0.7046,0.9377,0.6587,0.6339,0.6548,0.7500,0.7753
27,0.2639,0.9790,0.9805,0.7909,0.7308,0.7202,0.9405,0.6875,0.6577,0.6310,0.7740,0.7827
28,0.2484,0.9889,0.9900,0.8114,0.6947,0.6756,0.9341,0.6538,0.5997,0.6810,0.7356,0.7515
29,0.2405,0.9895,0.9908,0.7492,0.7380,0.7403,0.8923,0.6923,0.6741,0.5993,0.7837,0.8065
30,0.2255,0.9895,0.9901,0.7903,0.7188,0.7098,0.9645,0.6683,0.6310,0.6082,0.7692,0.7887
31,0.2150,0.9914,0.9923,0.7811,0.7284,0.7165,0.9236,0.6923,0.6548,0.6292,0.7644,0.7783
32,0.2132,0.9944,0.9950,0.7911,0.7091,0.6927,0.9459,0.6827,0.6339,0.6267,0.7356,0.7515
33,0.1975,0.9957,0.9960,0.7479,0.7284,0.7158,0.8664,0.7115,0.6756,0.6165,0.7452,0.7560
34,0.1973,0.9920,0.9929,0.8080,0.7356,0.7202,1.0231,0.6731,0.6339,0.5792,0.7981,0.8065
35,0.1890,0.9957,0.9960,0.7718,0.7115,0.7098,0.9236,0.6971,0.6682,0.6103,0.7260,0.7515
36,0.1825,0.9975,0.9979,0.7753,0.7212,0.7180,0.9171,0.7019,0.6726,0.6264,0.7404,0.7634
37,0.1731,0.9963,0.9965,0.7802,0.7043,0.6957,0.9085,0.6875,0.6458,0.6428,0.7212,0.7455
38,0.1665,0.9981,0.9985,0.7799,0.7332,0.7277,0.9293,0.7067,0.6756,0.6207,0.7596,0.7798
39,0.1660,0.9994,0.9994,0.7775,0.7019,0.6972,0.9003,0.6875,0.6562,0.6457,0.7163,0.7381
40,0.1604,0.9981,0.9983,0.7826,0.7236,0.7195,0.9376,0.6923,0.6652,0.6176,0.7548,0.7738
41,0.1590,0.9981,0.9977,0.7800,0.7115,0.7031,0.9063,0.6923,0.6533,0.6430,0.7308,0.7530
42,0.1520,0.9981,0.9983,0.7853,0.7356,0.7247,0.9519,0.6875,0.6488,0.6078,0.7837,0.8006
43,0.1474,0.9981,0.9983,0.8123,0.7139,0.6935,0.9758,0.6683,0.6086,0.6376,0.7596,0.7783
